id_point,id_route,id_road,id_segment,latitude,longitude,speed
P0275,RT01,DMQ,S042,-0.12567,-78.48087,70
P0276,RT01,DMQ,S042,-0.12685,-78.48102,70
P0277,RT01,DMQ,S042,-0.12799,-78.48118,70
P0278,RT01,DMQ,S043,-0.12921,-78.48137,70
P0279,RT01,DMQ,S043,-0.13015,-78.48151,70
P0280,RT01,DMQ,S043,-0.13125,-78.48165,70
P0281,RT01,DMQ,S043,-0.13218,-78.48179,70
P0282,RT01,DMQ,S043,-0.13306,-78.4819,70
P0283,RT01,DMQ,S043,-0.13393,-78.482,70
P0284,RT01,DMQ,S043,-0.1349,-78.48212,70
P0285,RT01,DMQ,S043,-0.13591,-78.48226,70
P0286,RT01,DMQ,S043,-0.13714,-78.48243,70
P0287,RT01,DMQ,S043,-0.13844,-78.48264,70
P0288,RT01,DMQ,S044,-0.13946,-78.48277,70
P0289,RT01,DMQ,S044,-0.1403,-78.4829,70
P0290,RT01,DMQ,S044,-0.14112,-78.483,70
P0291,RT01,DMQ,S044,-0.14198,-78.48312,70
P0292,RT01,DMQ,S044,-0.14271,-78.48322,70
P0293,RT01,DMQ,S044,-0.14338,-78.48331,70
P0294,RT01,DMQ,S044,-0.14426,-78.48344,70
P0295,RT01,DMQ,S044,-0.14503,-78.48355,70
P0296,RT01,DMQ,S044,-0.14582,-78.48366,70
P0297,RT01,DMQ,S044,-0.1466,-78.48377,70
P0298,RT01,DMQ,S044,-0.14756,-78.4839,70
P0299,RT01,DMQ,S044,-0.14835,-78.48401,70
P0300,RT01,DMQ,S044,-0.14937,-78.48414,70
P0301,RT01,DMQ,S044,-0.15031,-78.48427,70
P0302,RT01,DMQ,S044,-0.15132,-78.48441,70
P0303,RT01,DMQ,S044,-0.1522,-78.48452,70
P0304,RT01,DMQ,S045,-0.15324,-78.48467,70
P0305,RT01,DMQ,S045,-0.15423,-78.48481,70
P0306,RT01,DMQ,S045,-0.1553,-78.48496,70
P0307,RT01,DMQ,S045,-0.15639,-78.48507,70
P0308,RT01,DMQ,S045,-0.15729,-78.48513,70
P0309,RT01,DMQ,S045,-0.15792,-78.48439,70
P0310,RT01,DMQ,S046,-0.15792,-78.48439,70
P0311,RT01,DMQ,S046,-0.15846,-78.48406,70
P0312,RT01,DMQ,S046,-0.15907,-78.48369,70
P0313,RT01,DMQ,S046,-0.15966,-78.48333,70
P0314,RT01,DMQ,S046,-0.16015,-78.48306,70
P0315,RT01,DMQ,S046,-0.16075,-78.483,70
P0316,RT01,DMQ,S046,-0.16113,-78.48307,70
P0317,RT01,DMQ,S046,-0.16149,-78.48313,70
P0318,RT01,DMQ,S046,-0.16178,-78.48317,70
P0319,RT01,DMQ,S046,-0.16209,-78.48321,70
P0320,RT01,DMQ,S046,-0.16234,-78.48325,70
P0321,RT01,DMQ,S046,-0.16261,-78.4833,70
P0322,RT01,DMQ,S046,-0.1629,-78.48334,70
P0323,RT01,DMQ,S046,-0.16326,-78.48341,70
P0324,RT01,DMQ,S046,-0.16361,-78.48348,70
P0325,RT01,DMQ,S046,-0.16411,-78.48359,70
P0326,RT01,DMQ,S046,-0.16454,-78.48368,70
P0327,RT01,DMQ,S046,-0.16499,-78.48376,70
P0328,RT01,DMQ,S046,-0.16545,-78.48384,70
P0329,RT01,DMQ,S046,-0.16589,-78.48391,70
P0330,RT01,DMQ,S046,-0.16639,-78.48398,70
P0331,RT01,DMQ,S046,-0.16693,-78.48407,70
P0332,RT01,DMQ,S046,-0.16749,-78.48417,70
P0333,RT01,DMQ,S046,-0.16808,-78.48428,70
P0334,RT01,DMQ,S046,-0.16855,-78.48436,70
P0335,RT01,DMQ,S047,-0.16911,-78.48446,70
P0336,RT01,DMQ,S047,-0.16984,-78.48459,70
P0337,RT01,DMQ,S047,-0.17049,-78.48469,70
P0338,RT01,DMQ,S047,-0.17111,-78.4848,70
P0339,RT01,DMQ,S047,-0.17181,-78.48491,70
P0340,RT01,DMQ,S047,-0.17254,-78.48505,70
P0341,RT01,DMQ,S047,-0.17312,-78.48516,70
P0342,RT01,DMQ,S047,-0.17386,-78.4853,70
P0343,RT01,DMQ,S047,-0.17452,-78.48541,70
P0344,RT01,DMQ,S048,-0.17532,-78.48554,70
P0345,RT01,DMQ,S048,-0.17693,-78.48585,70
P0346,RT01,DMQ,S048,-0.17798,-78.48603,70
P0347,RT01,DMQ,S048,-0.17869,-78.48615,70
P0348,RT01,DMQ,S048,-0.1793,-78.4863,70
P0349,RT01,DMQ,S048,-0.18036,-78.48646,70
P0350,RT01,DMQ,S048,-0.18127,-78.48661,70
P0351,RT01,DMQ,S048,-0.18238,-78.4868,70
P0352,RT01,DMQ,S048,-0.18342,-78.48696,70
P0353,RT01,DMQ,S048,-0.18426,-78.48711,70
P0354,RT01,DMQ,S048,-0.18524,-78.4873,70
P0355,RT01,DMQ,S048,-0.186,-78.48744,70
P0356,RT01,DMQ,S049,-0.18705,-78.4876,70
P0357,RT01,DMQ,S049,-0.18781,-78.48774,70
P0358,RT01,DMQ,S049,-0.18836,-78.4878,70
P0359,RT01,DMQ,S049,-0.18889,-78.48794,70
P0360,RT01,DMQ,S049,-0.18939,-78.48804,70
P0361,RT01,DMQ,S049,-0.1899,-78.48813,70
P0362,RT01,DMQ,S049,-0.19045,-78.48822,70
P0363,RT01,DMQ,S049,-0.19128,-78.48837,70
P0364,RT01,DMQ,S050,-0.19211,-78.48851,70
P0365,RT01,DMQ,S050,-0.19295,-78.48853,70
P0366,RT01,DMQ,S050,-0.19379,-78.48852,70
P0367,RT01,DMQ,S050,-0.19449,-78.48855,70
P0368,RT01,DMQ,S050,-0.19529,-78.48881,70
P0369,RT01,DMQ,S050,-0.19599,-78.48916,70
P0370,RT01,DMQ,S051,-0.19677,-78.4896,70
P0371,RT01,DMQ,S051,-0.19741,-78.48991,70
P0372,RT01,DMQ,S051,-0.19792,-78.49008,70
P0373,RT01,DMQ,S051,-0.19851,-78.49035,70
P0374,RT01,DMQ,S051,-0.19902,-78.49057,70
P0375,RT01,DMQ,S051,-0.19962,-78.49078,70
P0376,RT01,DMQ,S052,-0.20014,-78.49098,70
P0377,RT01,DMQ,S052,-0.20052,-78.49112,70
P0378,RT01,DMQ,S052,-0.20086,-78.49128,70
P0379,RT01,DMQ,S052,-0.20117,-78.49165,70
P0380,RT01,DMQ,S052,-0.20139,-78.49202,70
P0381,RT01,DMQ,S052,-0.2016,-78.49241,70
P0382,RT01,DMQ,S052,-0.20184,-78.49282,70
P0383,RT01,DMQ,S052,-0.20206,-78.49321,70
P0384,RT01,DMQ,S052,-0.20226,-78.49358,70
P0385,RT01,DMQ,S053,-0.20248,-78.49399,70
P0386,RT01,DMQ,S053,-0.20283,-78.49426,70
P0387,RT01,DMQ,S053,-0.2032,-78.49447,70
P0388,RT01,DMQ,S053,-0.20351,-78.49465,70
P0389,RT01,DMQ,S053,-0.20387,-78.49485,70
P0390,RT01,DMQ,S053,-0.20428,-78.49509,70
P0391,RT01,DMQ,S053,-0.20465,-78.49529,70
P0392,RT01,DMQ,S053,-0.20498,-78.49547,70
P0393,RT01,DMQ,S054,-0.2053,-78.49565,70
P0394,RT01,DMQ,S054,-0.20559,-78.49583,70
P0395,RT01,DMQ,S054,-0.2059,-78.49602,70
P0396,RT01,DMQ,S054,-0.2062,-78.49621,70
P0397,RT01,DMQ,S054,-0.20651,-78.49638,70
P0398,RT01,DMQ,S054,-0.20684,-78.49657,70
P0399,RT01,DMQ,S054,-0.20724,-78.49681,70
P0400,RT01,DMQ,S055,-0.20767,-78.49708,70
P0401,RT01,DMQ,S055,-0.20796,-78.49701,70
P0402,RT01,DMQ,S055,-0.2082,-78.49659,70
P0403,RT01,DMQ,S055,-0.20847,-78.49612,70
P0404,RT01,DMQ,S056,-0.2087,-78.49575,70
P0405,RT01,DMQ,S056,-0.2089,-78.49541,70
P0406,RT01,DMQ,S056,-0.20917,-78.49509,70
P0407,RT01,DMQ,S056,-0.20942,-78.49481,70
P0408,RT01,DMQ,S057,-0.20969,-78.49451,70
P0409,RT01,DMQ,S057,-0.20999,-78.49424,70
P0410,RT01,DMQ,S057,-0.21046,-78.49414,70
P0411,RT01,DMQ,S057,-0.2108,-78.49391,70
P0412,RT01,DMQ,S057,-0.2111,-78.49372,70
P0413,RT01,DMQ,S057,-0.21136,-78.49354,70
P0414,RT01,DMQ,S058,-0.2116,-78.49338,70
P0415,RT01,DMQ,S058,-0.21188,-78.49321,70
P0416,RT01,DMQ,S058,-0.21223,-78.49298,70
P0417,RT01,DMQ,S058,-0.21245,-78.49272,70
P0418,RT01,DMQ,S058,-0.21265,-78.49246,70
P0419,RT01,DMQ,S059,-0.21286,-78.49219,70
P0420,RT01,DMQ,S059,-0.21307,-78.49198,70
P0421,RT01,DMQ,S059,-0.21335,-78.49174,70
P0422,RT01,DMQ,S059,-0.21358,-78.49155,70
P0423,RT01,DMQ,S059,-0.21385,-78.49136,70
P0424,RT01,DMQ,S059,-0.21418,-78.49123,70
P0425,RT01,DMQ,S059,-0.21453,-78.49115,70
P0426,RT01,DMQ,S059,-0.21485,-78.49106,70
P0427,RT01,AVI,S060,-0.2152,-78.49094,70
P0428,RT01,AVI,S060,-0.21578,-78.49091,70
P0429,RT01,AVI,S060,-0.21647,-78.49107,70
P0430,RT01,AVI,S060,-0.21706,-78.49119,70
P0431,RT01,AVI,S061,-0.21767,-78.49135,70
P0432,RT01,AVI,S061,-0.21806,-78.49183,70
P0433,RT01,AVI,S061,-0.21842,-78.49247,70
P0434,RT01,AVI,S061,-0.21874,-78.49304,70
P0435,RT01,AVI,S062,-0.21896,-78.4935,70
P0436,RT01,AVI,S062,-0.21919,-78.49403,70
P0437,RT01,AVI,S062,-0.21977,-78.49477,70
P0438,RT01,AVI,S062,-0.22093,-78.49528,70
P0439,RT01,AVI,S062,-0.22213,-78.49553,70
P0440,RT01,AVI,S062,-0.22256,-78.49576,70
P0441,RT01,AVI,S063,-0.22278,-78.4959,70
P0442,RT01,AVI,S063,-0.22321,-78.49617,70
P0443,RT01,AVI,S063,-0.22379,-78.49653,70
P0444,RT01,AVI,S063,-0.22453,-78.49698,70
P0445,RT01,AVI,S063,-0.22509,-78.4973,70
P0446,RT01,AVI,S063,-0.22556,-78.4976,70
P0447,RT01,AVI,S063,-0.22604,-78.49801,70
P0448,RT01,AVI,S064,-0.22622,-78.49823,70
P0449,RT01,AVI,S064,-0.22647,-78.49872,70
P0450,RT01,AVI,S064,-0.22679,-78.4994,70
P0451,RT01,AVI,S064,-0.22717,-78.49989,70
P0452,RT01,AVI,S065,-0.22743,-78.50016,70
P0453,RT01,AVI,S065,-0.22778,-78.50048,70
P0454,RT01,AVI,S065,-0.22839,-78.50067,70
P0455,RT01,AVI,S065,-0.22915,-78.5008,70
P0456,RT01,AVI,S065,-0.22973,-78.50097,70
P0457,RT01,AVI,S066,-0.23011,-78.5014,70
P0458,RT01,AVI,S066,-0.23057,-78.50184,70
P0459,RT01,AVI,S066,-0.23116,-78.50228,70
P0460,RT01,AVI,S066,-0.23168,-78.50268,70
P0461,RT01,AGR,S067,-0.23214,-78.50301,50
P0462,RT01,AGR,S067,-0.23261,-78.50388,50
P0463,RT01,AGR,S067,-0.23207,-78.50405,50
P0464,RT01,AGR,S067,-0.2328,-78.50375,50
P0465,RT01,AGR,S067,-0.23355,-78.50293,50
P0466,RT01,AGR,S068,-0.23332,-78.5024,90
P0467,RT01,AGR,S068,-0.23237,-78.50069,90
P0468,RT01,AGR,S068,-0.2315,-78.49927,90
P0469,RT01,AGR,S068,-0.23093,-78.49861,90
P0470,RT01,AGR,S069,-0.22983,-78.49735,90
