timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence
1040070213,-3931607,-935186580,7193.34,18.559,2703,65,0,0
1040070216,-3934544,-935181363,7249.1,18.559,2704.2,65,0,0
1040070217,-3935485,-935179647,7267.34,18.559,2704.6,65,0,0
1040070220,-3938268,-935174650,7320.62,17.738,2704.8,65,0,0
1040070223,-3941205,-935169667,7374.51,18.251,2703.4,64,0,0
1040070226,-3943987,-935164808,7426.65,17.019,2701,63,0,0
1040070228,-3945565,-935161825,7458.1,15.76,2699.4,63,0,0
1040070231,-3947170,-935157921,7497.44,12.708,2697.2,63,0,0
1040070235,-3949288,-935153814,7540.54,10.544,2695.6,63,0,0
1040070236,-3949716,-935152876,7550.15,10.273,2695.2,63,0,0
1040070238,-3949825,-935151036,7567.56,9.088,2694.8,63,0,0
1040070241,-3948505,-935148039,7598.12,10.516,2694.4,62,0,0
1040070245,-3946089,-935142834,7651.61,14.257,2693.4,65,0,0
1040070248,-3942969,-935138479,7701.6,16.945,2693,68,0,0
1040070249,-3941536,-935137133,7719.87,17.374,2693,68,0,0
1040070251,-3938177,-935134583,7759.05,17.85,2693,68,0,0
1040070252,-3936309,-935133549,7778.86,18.736,2693.2,68,0,0
1040070254,-3932347,-935131856,7818.85,19.296,2693.2,68,0,0
1040070257,-3926140,-935129412,7880.72,19.949,2693.4,67,0,0
1040070260,-3919847,-935127038,7943.08,19.846,2692.8,66,0,0
1040070261,-3917784,-935126199,7963.75,19.949,2692.6,65,0,0
1040070263,-3913667,-935124493,8005.09,20.173,2692.4,65,0,0
1040070266,-3907697,-935121507,8067.06,20.378,2692.2,65,0,0
1040070267,-3905812,-935120319,8087.75,20.481,2692.2,65,0,0
1040070270,-3900507,-935116207,8150.2,20.63,2692.6,65,0,0
1040070271,-3898904,-935114659,8170.92,20.63,2693,65,0,0
1040070274,-3894424,-935109722,8232.94,20.593,2694.6,66,0,0
1040070276,-3891532,-935106431,8273.7,20.518,2695.4,66,0,0
1040070279,-3887296,-935101571,8333.68,20.444,2695.8,66,0,0
1040070282,-3883031,-935096733,8393.68,19.949,2695.8,65,0,0
1040070285,-3878774,-935091930,8453.39,19.921,2694.8,64,0,0
1040070287,-3875860,-935088635,8494.31,19.921,2693.4,63,0,0
1040070290,-3871379,-935083517,8557.6,21.545,2691.2,63,0,0
1040070292,-3868263,-935079948,8601.67,21.992,2689,63,0,0
1040070295,-3863455,-935074532,8669.05,22.188,2685.2,63,0,0
1040070298,-3858638,-935069093,8736.64,22.179,2680.8,64,0,0
1040070301,-3853940,-935064129,8800.24,21.078,2675.8,64,0,0
1040070304,-3848759,-935060069,8861.49,20.21,2670.4,65,0,0
1040070307,-3842732,-935057244,8923.36,20.611,2664.6,65,0,0
1040070310,-3836547,-935055418,8983.18,20.248,2659,66,0,0
1040070311,-3834508,-935054888,9002.7,20.21,2657.2,66,0,0
1040070314,-3828610,-935053584,9058.59,18.437,2652.4,65,0,0
1040070315,-3826792,-935052859,9076.75,18.148,2651,65,0,0
1040070316,-3825109,-935051945,9094.53,17.859,2649.4,65,0,0
1040070318,-3822334,-935049533,9128.83,17.411,2646.6,65,0,0
1040070320,-3820783,-935046223,9163.07,17.131,2644.6,65,0,0
1040070322,-3820503,-935042370,9199.28,17.85,2643.4,65,0,0
1040070324,-3821470,-935038650,9235.17,17.616,2642.4,65,0,0
1040070327,-3824030,-935033506,9288.73,17.607,2641.6,65,0,0
1040070330,-3826840,-935028638,9341.06,16.674,2641.6,66,0,0
1040070333,-3829485,-935024258,9388.67,15.788,2643.8,66,0,0
1040070337,-3832904,-935018163,9453.76,15.788,2649.2,66,0,0
1040070340,-3835165,-935013752,9499.96,15.48,2653,65,0,0
1040070343,-3836620,-935009168,9544.92,15.33,2656.2,66,0,0
1040070344,-3836700,-935007869,9557.08,15.33,2657,66,0,0
1040070345,-3836613,-935005923,9575.23,15.33,2657.8,66,0,0
1040070347,-3835901,-935002889,9604.34,16.142,2659.4,65,0,0
1040070349,-3834262,-934999605,9638.66,17.047,2660.6,63,0,0
1040070350,-3833138,-934998200,9655.4,17.084,2661.6,61,0,0
1040070351,-3831807,-934996877,9672.85,17.103,2662.2,62,0,0
1040070353,-3828575,-934994729,9708.94,17.047,2663.2,62,0,0
1040070355,-3824724,-934993344,9746.91,18.4,2663.8,61,0,0
1040070356,-3822686,-934992791,9766.49,18.941,2664,61,0,0
1040070359,-3816456,-934991528,9825.43,19.464,2664,62,0,0
1040070361,-3812457,-934990607,9863.49,18.895,2663.8,63,0,0
1040070362,-3810609,-934989928,9881.75,18.895,2663.6,63,0,0
1040070364,-3807145,-934988309,9917.23,17.663,2663.4,64,0,0
1040070365,-3805616,-934987249,9934.51,17.458,2663.4,64,0,0
1040070367,-3802868,-934984873,9968.28,16.87,2663.6,65,0,0
1040070369,-3800196,-934982443,10001.86,16.618,2664,65,0,0
1040070371,-3797155,-934980407,10035.87,16.861,2664.2,65,0,0
1040070374,-3792137,-934977421,10090.09,18.242,2664,65,0,0
1040070376,-3788957,-934975295,10125.62,17.588,2663.4,66,0,0
1040070380,-3783350,-934971324,10189.43,15.05,2661.4,66,0,0
1040070381,-3782127,-934970453,10203.38,14.304,2661,66,0,0
1040070385,-3778267,-934967680,10247.54,9.751,2660,65,0,0
1040070388,-3776541,-934966472,10267.09,6.429,2659.6,64,0,0
1040070392,-3775457,-934965632,10279.83,2.435,2660.6,65,0,0
