id_road,segment,point,latitude,longitude,speed,,
ASB,S040,P119,-0.1840148,-78.4510489,90,,
ASB,S040,P120,-0.18248,-78.45095,90,,
ASB,S041,P121,-0.1818496,-78.4511798,70,,
ASB,S041,P122,-0.18123,-78.45135,70,,
ASB,S042,P123,-0.1803306,-78.4521131,90,,
ASB,S042,P124,-0.18029,-78.45276,90,,
ASB,S042,P125,-0.18076,-78.45359,90,,
ASB,S043,P126,-0.1810517,-78.4539199,50,,
ASB,S043,P127,-0.18037,-78.45582,50,,
ASB,S044,P128,-0.1790495,-78.4552214,90,,
ASB,S044,P129,-0.1782,-78.45471,90,,
ASB,S044,P130,-0.17549,-78.4538,90,,
ASB,S044,P131,-0.17355,-78.45252,90,,
ASB,S045,P132,-0.1727992,-78.4519398,90,,
ASB,S045,P133,-0.17144,-78.45091,90,,
ASB,S045,P134,-0.16996,-78.44987,90,,
ASB,S046,P135,-0.1680343,-78.4485242,90,,
ASB,S046,P136,-0.16533,-78.44766,90,,
ASB,S047,P137,-0.1638468,-78.4479204,80,,
ASB,S047,P138,-0.16262,-78.44794,80,,
ASB,S047,P139,-0.16106,-78.44722,80,,
ASB,S048,P140,-0.1604035,-78.4468269,80,,
ASB,S048,P141,-0.15934,-78.44639,80,,
ASB,S048,P142,-0.15785,-78.44635,80,,
ASB,S049,P143,-0.1568174,-78.4463454,80,,
ASB,S049,P144,-0.15576,-78.44634,80,,
ASB,S049,P145,-0.15338,-78.44721,80,,
ASB,S050,P146,-0.1525669,-78.4487715,90,,
ASB,S050,P147,-0.15231,-78.44973,90,,
ASB,S051,P148,-0.1519184,-78.4515052,90,,
ASB,S051,P149,-0.15133,-78.45193,90,,
ASB,S052,P150,-0.1504914,-78.4521661,90,,
ASB,S052,P151,-0.14994,-78.45136,90,,
ASB,S053,P152,-0.1498036,-78.4506823,80,,
ASB,S053,P153,-0.14874,-78.44897,80,,
ASB,S054,P154,-0.1480158,-78.4484159,70,,
ASB,S054,P155,-0.14771,-78.4478,70,,
ASB,S055,P156,-0.1476207,-78.447486,90,,
ASB,S055,P157,-0.14697,-78.44616,90,,
ASB,S055,P158,-0.14553,-78.44521,90,,
ASB,S056,P159,-0.1446546,-78.4440756,90,,
ASB,S056,P160,-0.14261,-78.44339,90,,
ASB,S056,P161,-0.14092,-78.4442,90,,
ASB,S057,P162,-0.1404484,-78.4446632,70,,
ASB,S057,P163,-0.13996,-78.44524,70,,
ASB,S057,P164,-0.13899,-78.4465,70,,
ASB,S057,P165,-0.13719,-78.44722,70,,
ASB,S058,P166,-0.136036,-78.4473868,70,,
ASB,S058,P167,-0.13397,-78.44769,70,,
ASB,S058,P168,-0.13116,-78.4481,70,,
ASB,S059,P169,-0.1296348,-78.448287,80,,
ASB,S059,P170,-0.12791,-78.44828,80,,
ASB,S060,P171,-0.1236165,-78.447689,90,,
ASB,S060,P172,-0.11995,-78.44917,90,,
ASB,S061,P173,-0.1184042,-78.4508825,70,,
ASB,S061,P174,-0.1164,-78.45327,70,,
ASB,S061,P175,-0.11451,-78.45562,70,,
ASB,S061,P176,-0.11325,-78.45675,70,,
ASB,S062,P177,-0.1118426,-78.4573579,60,,
ASB,S062,P178,-0.11184,-78.45735,60,,
ASB,S063,P179,-0.1102504,-78.4579986,50,,
ASB,S063,P180,-0.10903,-78.45806,50,,
ASB,S063,P181,-0.10953,-78.45877,50,,
ASB,S064,P182,-0.1103228,-78.458189,70,,
ASB,S064,P183,-0.11106,-78.45788,70,,
ASB,S065,P184,-0.1119342,-78.4574937,60,,
ASB,S065,P185,-0.11529,-78.45485,60,,
ASB,S066,P186,-0.1174005,-78.4522161,60,,
ASB,S066,P187,-0.11792,-78.4516,60,,
ASB,S067,P188,-0.1185014,-78.4509683,90,,
ASB,S067,P189,-0.1214,-78.44807,90,,
ASB,S068,P190,-0.1236175,-78.4477997,90,,
ASB,S068,P191,-0.12517,-78.44801,90,,
ASB,S069,P192,-0.126495,-78.448173,60,,
ASB,S069,P193,-0.12726,-78.44831,60,,
ASB,S069,P194,-0.12866,-78.44853,60,,
ASB,S070,P195,-0.1296643,-78.4484318,90,,
ASB,S070,P196,-0.13251,-78.44811,90,,
ASB,S071,P197,-0.1351047,-78.4476464,70,,
ASB,S071,P198,-0.1367,-78.44745,70,,
ASB,S071,P199,-0.13834,-78.44709,70,,
ASB,S072,P200,-0.1396184,-78.4459827,70,,
ASB,S072,P201,-0.13993,-78.44554,70,,
ASB,S073,P202,-0.1405557,-78.4447812,90,,
ASB,S073,P203,-0.14168,-78.44374,90,,
ASB,S073,P204,-0.14354,-78.44382,90,,
ASB,S074,P205,-0.1445996,-78.4441976,90,,
ASB,S074,P206,-0.14507,-78.44476,90,,
ASB,S074,P207,-0.1462,-78.44586,90,,
ASB,S074,P208,-0.14726,-78.44679,90,,
ASB,S075,P209,-0.147504,-78.4475141,70,,
ASB,S075,P210,-0.14772,-78.44819,70,,
ASB,S076,P211,-0.1479252,-78.4484983,90,,
ASB,S076,P212,-0.14918,-78.44942,90,,
ASB,S076,P213,-0.14953,-78.45001,90,,
ASB,S076,P214,-0.1499,-78.45173,90,,
ASB,S077,P215,-0.1507878,-78.4524625,90,,
ASB,S077,P216,-0.15157,-78.45197,90,,
ASB,S078,P217,-0.1520619,-78.4515528,90,,
ASB,S078,P218,-0.15227,-78.45062,90,,
ASB,S079,P219,-0.1526822,-78.4488084,90,,
ASB,S079,P220,-0.15434,-78.44667,90,,
ASB,S080,P221,-0.1572749,-78.4464799,80,,
ASB,S080,P222,-0.1586,-78.44648,80,,
ASB,S081,P223,-0.1603465,-78.4469227,90,,
ASB,S081,P224,-0.16167,-78.44772,90,,
ASB,S081,P225,-0.16453,-78.44793,90,,
ASB,S081,P226,-0.16671,-78.44792,90,,
ASB,S082,P227,-0.1679565,-78.4486449,70,,
ASB,S082,P228,-0.16909,-78.44943,70,,
ASB,S082,P229,-0.17067,-78.45053,70,,
ASB,S082,P230,-0.17227,-78.45174,70,,
ASB,S082,P231,-0.17414,-78.45322,70,,
ASB,S083,P232,-0.1760411,-78.4545978,60,,
ASB,S083,P233,-0.17624,-78.45568,60,,
ASB,S084,P234,-0.177109,-78.4549233,80,,
ASB,S084,P235,-0.17808,-78.45501,80,,
ASB,S085,P236,-0.1789098,-78.455355,70,,
ASB,S085,P237,-0.17969,-78.45576,70,,
ASB,S085,P238,-0.18152,-78.45518,70,,
ASB,S086,P239,-0.1811684,-78.4538223,50,,
ASB,S086,P240,-0.18058,-78.4531,50,,
ASB,S087,P241,-0.1804849,-78.4521885,90,,
ASB,S087,P242,-0.18164,-78.45142,90,,
ASB,S087,P243,-0.18321,-78.45104,90,,
ASB,S088,P244,-0.1839461,-78.4512226,90,,
ASB,S088,P245,-0.18455,-78.45178,90,,
ASB,S089,P246,-0.1852866,-78.4534425,70,,
ASB,S089,P247,-0.18683,-78.45409,70,,
ASB,S090,P248,-0.1877025,-78.4543107,90,,
ASB,S090,P249,-0.18991,-78.45437,90,,
ASB,S090,P250,-0.19186,-78.45435,90,,
ASB,S090,P251,-0.19222,-78.45597,90,,
ASB,S091,P252,-0.1919671,-78.456789,80,,
ASB,S091,P253,-0.1918,-78.45743,80,,
ASB,S091,P254,-0.19256,-78.45917,80,,
ASB,S091,P255,-0.19356,-78.45941,80,,
ASB,S091,P256,-0.19365,-78.46142,80,,
ASB,S092,P257,-0.1953951,-78.4644825,60,,
ASB,S092,P258,-0.19546,-78.46599,60,,
ASB,S092,P259,-0.19678,-78.46693,60,,
ASB,S092,P260,-0.19774,-78.46667,60,,
ASB,S092,P261,-0.1988,-78.46584,60,,
ASB,S093,P262,-0.1987553,-78.4649142,70,,
ASB,S093,P263,-0.19855,-78.46261,70,,
ASB,S093,P264,-0.19871,-78.46036,70,,
ASB,S093,P265,-0.19946,-78.45895,70,,
ASB,S093,P266,-0.1999,-78.45734,70,,
ASB,S093,P267,-0.20125,-78.45675,70,,
ASB,S093,P268,-0.20245,-78.45792,70,,
ASB,S094,P269,-0.2031149,-78.4586418,80,,
ASB,S094,P270,-0.20343,-78.45901,80,,
ASB,S094,P271,-0.20466,-78.45998,80,,
ASB,S094,P272,-0.20614,-78.46072,80,,
ASB,S094,P273,-0.2074,-78.46131,80,,
ASB,S095,P274,-0.20831,-78.46164,70,,
ASB,S095,P275,-0.20917,-78.4619,70,,
ASB,S095,P276,-0.2107,-78.46236,70,,
ASB,S096,P277,-0.2113917,-78.4626545,90,,
ASB,S096,P278,-0.21203,-78.46321,90,,
ASB,S097,P279,-0.2126532,-78.4637378,90,,
ASB,S097,P280,-0.21386,-78.46407,90,,
ASB,S098,P281,-0.2166776,-78.4657786,90,,
ASB,S098,P282,-0.21806,-78.46643,90,,
ASB,S099,P283,-0.2188617,-78.4667181,80,,
ASB,S099,P284,-0.22171,-78.46772,80,,
ASB,S099,P285,-0.22464,-78.4689,80,,
ASB,S100,P286,-0.2269604,-78.4693381,90,,
ASB,S100,P287,-0.22817,-78.46926,90,,
ASB,S101,P288,-0.2303297,-78.4699668,80,,
ASB,S101,P289,-0.23107,-78.47046,80,,
ASB,S102,P290,-0.2329392,-78.471348,90,,
ASB,S102,P291,-0.23378,-78.47125,90,,
ASB,S102,P292,-0.23504,-78.4713,90,,
ASB,S102,P293,-0.23551,-78.47255,90,,
ASB,S103,P294,-0.2361287,-78.4731319,70,,
ASB,S103,P295,-0.23768,-78.47333,70,,
ASB,S103,P296,-0.23864,-78.47353,70,,
ASB,S103,P297,-0.2398,-78.47397,70,,
ASB,S103,P298,-0.24115,-78.47434,70,,
ASB,S103,P299,-0.24274,-78.47483,70,,
ASB,S103,P300,-0.24356,-78.47542,70,,
ASB,S103,P301,-0.24518,-78.47624,70,,
ASB,S104,P302,-0.2461812,-78.4767024,90,,
ASB,S104,P303,-0.24744,-78.47843,90,,
ASB,S104,P304,-0.24764,-78.47925,90,,
ASB,S104,P305,-0.24626,-78.48137,90,,
ASB,S105,P306,-0.2440528,-78.4821834,70,,
ASB,S105,P307,-0.2426,-78.48259,70,,
ASB,S106,P308,-0.2419934,-78.4827589,90,,
ASB,S106,P309,-0.2407,-78.48286,90,,
ASB,S106,P310,-0.23884,-78.48256,90,,
ASB,S106,P311,-0.23766,-78.48355,90,,
ASB,S106,P312,-0.23748,-78.48454,90,,
ASB,S106,P313,-0.23715,-78.48615,90,,
ASB,S106,P314,-0.23543,-78.48806,90,,
ASB,S107,P315,-0.2329492,-78.4888012,80,,
ASB,S107,P316,-0.2324,-78.48933,80,,
ASB,S108,P317,-0.23135,-78.4915832,90,,
ASB,S108,P318,-0.23166,-78.49277,90,,
ASB,S109,P319,-0.2337257,-78.4929618,60,,
ASB,S109,P320,-0.23427,-78.49205,60,,
ASB,S110,P321,-0.2344355,-78.491609,60,,
ASB,S110,P322,-0.23583,-78.48999,60,,
ASB,S110,P323,-0.23721,-78.4901,60,,
ASB,S110,P324,-0.23819,-78.49103,60,,
ASB,S111,P325,-0.239185,-78.4925007,70,,
ASB,S111,P326,-0.23962,-78.49314,70,,
ASB,S112,P327,-0.2406328,-78.4943351,70,,
ASB,S112,P328,-0.24182,-78.49526,70,,
ASB,S113,P329,-0.2422994,-78.4959217,90,,
ASB,S113,P330,-0.24245,-78.4979,90,,
ASB,S113,P331,-0.24285,-78.49992,90,,
ASB,S114,P332,-0.244626,-78.5009492,90,,
ASB,S114,P333,-0.24559,-78.50116,90,,
ASB,S115,P334,-0.2468651,-78.501434,80,,
ASB,S115,P335,-0.24834,-78.50188,80,,
ASB,S115,P336,-0.24954,-78.50271,80,,
ASB,S116,P337,-0.2500688,-78.5030928,90,,
ASB,S116,P338,-0.25094,-78.50368,90,,
ASB,S116,P339,-0.25364,-78.50417,90,,
ASB,S117,P340,-0.2554592,-78.5035077,90,,
ASB,S117,P341,-0.25677,-78.50286,90,,
ASB,S118,P342,-0.2596128,-78.5031932,70,,
ASB,S118,P343,-0.26156,-78.5045,70,,
ASB,S119,P344,-0.2625245,-78.5051456,90,,
ASB,S119,P345,-0.26535,-78.50739,90,,
ASB,S120,P346,-0.2674116,-78.5075346,90,,
ASB,S120,P347,-0.26799,-78.50752,90,,
ASB,S121,P348,-0.2691022,-78.5076834,90,,
ASB,S121,P349,-0.27021,-78.50796,90,,
ASB,S121,P350,-0.2717,-78.50844,90,,
ASB,S122,P351,-0.2729767,-78.5094721,90,,
ASB,S122,P352,-0.27404,-78.51047,90,,
ASB,S123,P353,-0.276294,-78.5124713,70,,
ASB,S123,P354,-0.27853,-78.51451,70,,
ASB,S123,P355,-0.28104,-78.51655,70,,
ASB,S123,P356,-0.2828,-78.51739,70,,
ASB,S123,P357,-0.28423,-78.51812,70,,
ASB,S124,P358,-0.2849607,-78.518482,90,,
ASB,S124,P359,-0.28585,-78.51891,90,,
ASB,S125,P360,-0.2862444,-78.5190788,90,,
ASB,S125,P361,-0.28832,-78.51983,90,,
ASB,S125,P362,-0.28904,-78.51979,90,,
ASB,S126,P363,-0.2904842,-78.5196733,90,,
ASB,S126,P364,-0.2915,-78.51975,90,,
ASB,S126,P365,-0.2929,-78.51985,90,,
ASB,S126,P366,-0.29444,-78.52009,90,,
ASB,S126,P367,-0.29759,-78.52077,90,,
ASB,S126,P368,-0.30099,-78.52136,90,,
ASB,S127,P369,-0.3025647,-78.5216133,80,,
ASB,S127,P370,-0.3035,-78.52163,80,,
ASB,S127,P371,-0.30506,-78.52169,80,,
ASB,S127,P372,-0.30674,-78.52176,80,,
ASB,S127,P373,-0.30751,-78.5218,80,,
ASB,S127,P374,-0.30862,-78.52188,80,,
ASB,S127,P375,-0.31043,-78.52215,80,,
ASB,S127,P376,-0.31214,-78.52238,80,,
ASB,S127,P377,-0.31294,-78.52237,80,,
ASB,S128,P378,-0.3148223,-78.5221543,80,,
ASB,S128,P379,-0.31619,-78.52196,80,,
ASB,S128,P380,-0.31784,-78.52168,80,,
ASB,S128,P381,-0.31943,-78.5214,80,,
ASB,S128,P382,-0.32116,-78.52088,80,,
ASB,S129,P383,-0.3233255,-78.5201907,90,,
ASB,S129,P384,-0.3278,-78.5191,90,,
ASB,S130,P385,-0.3297461,-78.5192009,90,,
ASB,S130,P386,-0.33113,-78.51945,90,,
ASB,S130,P387,-0.33293,-78.51979,90,,
ASB,S131,P388,-0.3347547,-78.5201316,90,,
ASB,S131,P389,-0.33556,-78.52027,90,,
ASB,S131,P390,-0.33721,-78.52059,90,,
ASB,S132,P391,-0.33942,-78.52111,70,,
ASB,S132,P392,-0.34185,-78.5224,70,,
ASB,S133,P393,-0.34284,-78.5229738,90,,
ASB,S133,P394,-0.34419,-78.52362,90,,
ASB,S133,P395,-0.34614,-78.52374,90,,
ASB,S133,P396,-0.34739,-78.52354,90,,
ASB,S134,P397,-0.3480581,-78.5234397,90,,
ASB,S134,P398,-0.34861,-78.52335,90,,
ASB,S135,P399,-0.348874,-78.5233195,90,,
ASB,S135,P400,-0.3498,-78.52316,90,,
ASB,S135,P401,-0.35196,-78.52305,90,,
ASB,S135,P402,-0.35426,-78.52432,90,,
ASB,S135,P403,-0.35486,-78.5252,90,,
ASB,S136,P404,-0.3551982,-78.5258338,90,,
ASB,S136,P405,-0.35571,-78.52688,90,,
ASB,S136,P406,-0.35627,-78.52802,90,,
ASB,S136,P407,-0.35679,-78.52931,90,,
ASB,S136,P408,-0.35722,-78.532,90,,
ASB,S137,P409,-0.3574174,-78.5334403,60,,
ASB,S137,P410,-0.35913,-78.53468,60,,
ASB,S138,P411,-0.3607322,-78.5337868,90,,
ASB,S138,P412,-0.36231,-78.53209,90,,
ASB,S138,P413,-0.36334,-78.53098,90,,
ASB,S139,P414,-0.3650716,-78.5291244,70,,
ASB,S139,P415,-0.36585,-78.52861,70,,
ASB,S140,P416,-0.3678945,-78.5287481,70,,
ASB,S140,P417,-0.36955,-78.52908,70,,
ASB,S140,P418,-0.37098,-78.52938,70,,
ASB,S140,P419,-0.37191,-78.52957,70,,
ASB,S140,P420,-0.37263,-78.52972,70,,
ASB,S140,P421,-0.37431,-78.53007,70,,
ASB,S140,P422,-0.37536,-78.5303,70,,
ASB,S140,P423,-0.37616,-78.53046,70,,
ASB,S140,P424,-0.37747,-78.53074,70,,
ASB,S140,P425,-0.37896,-78.53105,70,,
ASB,S140,P426,-0.38003,-78.53127,70,,
ASB,S140,P427,-0.38118,-78.53148,70,,
ASB,S141,P428,-0.3822891,-78.5317176,60,,
ASB,S141,P429,-0.38351,-78.53204,60,,
ASB,S141,P430,-0.38467,-78.5324,60,,
ASB,S141,P431,-0.38525,-78.53245,60,,
ASB,S141,P432,-0.38417,-78.5321,60,,
ASB,S142,P433,-0.3823199,-78.531621,70,,
ASB,S142,P434,-0.38072,-78.53127,70,,
ASB,S142,P435,-0.37939,-78.53096,70,,
ASB,S142,P436,-0.37822,-78.53072,70,,
ASB,S143,P437,-0.3768134,-78.5304371,80,,
ASB,S143,P438,-0.37579,-78.53023,80,,
ASB,S143,P439,-0.37485,-78.53004,80,,
ASB,S143,P440,-0.37387,-78.52984,80,,
ASB,S143,P441,-0.37336,-78.52973,80,,
ASB,S143,P442,-0.37232,-78.5295,80,,
ASB,S143,P443,-0.37037,-78.52909,80,,
ASB,S143,P444,-0.36893,-78.52879,80,,
ASB,S144,P445,-0.367924,-78.5285845,70,,
ASB,S144,P446,-0.36722,-78.52844,70,,
ASB,S144,P447,-0.36633,-78.52833,70,,
ASB,S144,P448,-0.3654,-78.52863,70,,
ASB,S145,P449,-0.3649737,-78.5290265,80,,
ASB,S145,P450,-0.36409,-78.52996,80,,
ASB,S145,P451,-0.36279,-78.53138,80,,
ASB,S145,P452,-0.36132,-78.53296,80,,
ASB,S146,P453,-0.3606444,-78.5337029,60,,
ASB,S146,P454,-0.35992,-78.53431,60,,
ASB,S146,P455,-0.35828,-78.5343,60,,
ASB,S147,P456,-0.3575603,-78.5333847,70,,
ASB,S147,P457,-0.35719,-78.53073,70,,
ASB,S148,P458,-0.3566415,-78.528492,90,,
ASB,S148,P459,-0.35615,-78.52749,90,,
ASB,S149,P460,-0.3553075,-78.5257902,90,,
ASB,S149,P461,-0.35469,-78.52467,90,,
ASB,S149,P462,-0.35333,-78.52338,90,,
ASB,S149,P463,-0.35066,-78.52291,90,,
ASB,S150,P464,-0.3488492,-78.5231727,90,,
ASB,S150,P465,-0.34829,-78.52326,90,,
ASB,S151,P466,-0.348042,-78.5232968,70,,`
ASB,S151,P467,-0.34685,-78.52349,70,,
ASB,S151,P468,-0.3455,-78.52364,70,,
ASB,S152,P469,-0.3429111,-78.5228578,90,,
ASB,S152,P470,-0.34097,-78.52171,90,,
ASB,S152,P471,-0.33808,-78.52059,90,,
ASB,S152,P472,-0.33648,-78.5203,90,,
ASB,S153,P473,-0.3347815,-78.5199734,80,,
ASB,S153,P474,-0.33364,-78.51977,80,,
ASB,S153,P475,-0.33226,-78.51952,80,,
ASB,S154,P476,-0.3297663,-78.5190742,90,,
ASB,S154,P477,-0.32869,-78.51896,90,,
ASB,S154,P478,-0.3262,-78.51916,90,,
ASB,S154,P479,-0.32458,-78.51964,90,,
ASB,S155,P480,-0.3232947,-78.5200734,90,,
ASB,S155,P481,-0.3221,-78.52046,90,,
ASB,S155,P482,-0.32005,-78.52111,90,,
ASB,S155,P483,-0.31841,-78.52146,90,,
ASB,S156,P484,-0.3171381,-78.52167,90,,
ASB,S156,P485,-0.31381,-78.52217,90,,
ASB,S156,P486,-0.3114,-78.52217,90,,
ASB,S156,P487,-0.30956,-78.52189,90,,
ASB,S156,P488,-0.30811,-78.52169,90,,
ASB,S156,P489,-0.30601,-78.5216,90,,
ASB,S156,P490,-0.30449,-78.52157,90,,
ASB,S157,P491,-0.3025727,-78.5214618,90,,
ASB,S157,P492,-0.30025,-78.52105,90,,
ASB,S157,P493,-0.29949,-78.52087,90,,
ASB,S157,P494,-0.29848,-78.5207,90,,
ASB,S157,P495,-0.29682,-78.52052,90,,
ASB,S157,P496,-0.29606,-78.52032,90,,
ASB,S158,P497,-0.293442,-78.5197884,70,,
ASB,S158,P498,-0.29234,-78.51966,70,,
ASB,S159,P499,-0.2904782,-78.5195405,90,,
ASB,S159,P500,-0.28972,-78.51956,90,,
ASB,S159,P501,-0.28754,-78.51955,90,,
ASB,S160,P502,-0.2863007,-78.5189427,90,,
ASB,S160,P503,-0.28544,-78.51855,90,,
ASB,S161,P504,-0.2850164,-78.5183626,50,,
ASB,S161,P505,-0.28366,-78.51766,50,,
ASB,S161,P506,-0.28221,-78.51694,50,,
ASB,S161,P507,-0.27979,-78.51548,50,,
ASB,S161,P508,-0.27722,-78.51315,50,,
ASB,S161,P509,-0.27542,-78.51148,50,,
ASB,S162,P510,-0.2730612,-78.5093816,70,,
ASB,S162,P511,-0.27099,-78.50802,70,,
ASB,S163,P512,-0.269127,-78.5075346,90,,
ASB,S163,P513,-0.26859,-78.50741,90,,
ASB,S164,P514,-0.2674063,-78.507379,90,,
ASB,S164,P515,-0.26407,-78.50623,90,,
ASB,S165,P516,-0.2625983,-78.505041,80,,
ASB,S165,P517,-0.26063,-78.5037,80,,
ASB,S165,P518,-0.25822,-78.50242,80,,
ASB,S166,P519,-0.2554082,-78.5033971,70,,
ASB,S166,P520,-0.25212,-78.50399,70,,
ASB,S167,P521,-0.2501546,-78.5029627,90,,
ASB,S167,P522,-0.24903,-78.50217,90,,
ASB,S168,P523,-0.2479766,-78.5015472,80,,
ASB,S168,P524,-0.24626,-78.50114,80,,
ASB,S169,P525,-0.2446508,-78.5007889,90,,
ASB,S169,P526,-0.24368,-78.50044,90,,
